ENTREGAS;NivelServ;LeadTime_dias;Cantidad_kg;Valoracion;Ciudad;Provincia;Cliente;Dolares;OTIF;Orden Perfecta;PendienteCombro
E5819;94%; 14 ; 267 ;Reguar; Esmeraldas     ; El Oro          ;C0001001074; $960,55 ;84%;65%;NO
E5820;94%; 12 ; 223 ;Muy Malo; Machala        ; Esmeraldas      ;C0001001126; $557,05 ;89%;73%;NO
E5821;95%; 9 ; 173 ;Malo; Loja           ; Pichincha       ;C0001001168; $518,55 ;87%;70%;SI
E5822;95%; 8 ; 149 ;Muy Bueno; Ambato         ; El Oro          ;C0001002154; $334,91 ;92%;79%;NO
E5823;93%; 6 ; 112 ;Muy Malo; Durán          ; Loja            ;C0001002353; $301,83 ;80%;58%;SI
E5824;85%; 12 ; 232 ;Bueno; Machala        ; Tungurahua      ;C0001001899; $509,41 ;78%;51%;NO
E5825;89%; 6 ; 114 ;Muy Malo; Cuenca         ; Loja            ;C0001001954; $136,40 ;77%;52%;NO
E5826;90%; 11 ; 211 ;Muy Malo; Guayaquil      ; Guayas          ;C0001001132; $273,91 ;87%;67%;SI
E5827;93%; 12 ; 228 ;Reguar; Esmeraldas     ; Chimborazo      ;C0001001665; $410,02 ;86%;67%;NO
E5828;94%; 4 ; 78 ;Bueno; Quito          ; Tungurahua      ;C0001001037; $178,99 ;89%;73%;NO
E5829;87%; 2 ; 52 ;Reguar; Ambato         ; Guayas          ;C0001002133; $180,64 ;79%;53%;NO
E5830;90%; 4 ; 86 ;Bueno; Manta          ; Chimborazo      ;C0001001103; $205,68 ;84%;62%;NO
E5831;90%; 4 ; 80 ;Muy Malo; Portoviejo     ; Tungurahua      ;C0001001322; $155,42 ;88%;68%;NO
E5832;91%; 6 ; 120 ;Bueno; Durán          ; Pichincha       ;C0001001571; $239,46 ;86%;66%;SI
E5833;93%; 12 ; 226 ;Muy Malo; Ambato         ; Guayas          ;C0001002209; $677,37 ;88%;71%;NO
E5834;96%; 5 ; 103 ;Malo; Esmeraldas     ; Guayas          ;C0001001062; $591,56 ;83%;65%;SI
E5835;83%; 9 ; 166 ;Reguar; Santo Domingo  ; Loja            ;C0001001752; $249,74 ;81%;53%;SI
E5836;90%; 5 ; 103 ;Bueno; Loja           ; Pichincha       ;C0001002471; $513,50 ;84%;62%;NO
E5837;94%; 9 ; 177 ;Muy Malo; Quito          ; Loja            ;C0001001985; $406,69 ;83%;63%;SI
E5838;92%; 4 ; 77 ;Muy Bueno; Santo Domingo  ; Santo Domingo   ;C0001001317; $287,85 ;83%;62%;NO
E5839;90%; 8 ; 157 ;Bueno; Loja           ; Manabí          ;C0001002385; $532,78 ;88%;68%;SI
E5840;88%; 7 ; 141 ;Muy Bueno; Durán          ; Guayas          ;C0001001981; $464,11 ;82%;58%;NO
E5841;87%; 14 ; 267 ;Reguar; Machala        ; Manabí          ;C0001001999; $586,54 ;84%;60%;NO
E5842;98%; 6 ; 115 ;Muy Bueno; Loja           ; Manabí          ;C0001001195; $275,86 ;85%;69%;NO
E5843;95%; 4 ; 78 ;Malo; Durán          ; Manabí          ;C0001001742; $163,49 ;90%;75%;NO
E5844;88%; 5 ; 99 ;Muy Malo; Loja           ; Manabí          ;C0001001041; $177,55 ;77%;51%;NO
E5845;87%; 6 ; 119 ;Muy Malo; Manta          ; Guayas          ;C0001001767; $427,00 ;78%;52%;SI
E5846;90%; 10 ; 187 ;Reguar; Cuenca         ; El Oro          ;C0001001828; $429,41 ;83%;61%;NO
E5847;91%; 9 ; 166 ;Bueno; Loja           ; Chimborazo      ;C0001001313; $364,61 ;91%;74%;SI
E5848;92%; 2 ; 44 ;Muy Malo; Riobamba       ; Chimborazo      ;C0001002193; $78,77 ;81%;59%;SI
E5849;89%; 5 ; 105 ;Reguar; Santo Domingo  ; Guayas          ;C0001001382; $251,21 ;81%;57%;NO
E5850;86%; 2 ; 43 ;Muy Bueno; Manta          ; Guayas          ;C0001001222; $68,13 ;85%;61%;NO
E5851;88%; 3 ; 63 ;Bueno; Quito          ; Chimborazo      ;C0001001991; $162,86 ;79%;54%;NO
E5852;90%; 4 ; 77 ;Reguar; Santo Domingo  ; Guayas          ;C0001002309; $352,82 ;89%;70%;NO
E5853;88%; 10 ; 185 ;Malo; Esmeraldas     ; Guayas          ;C0001002324; $812,42 ;80%;55%;SI
E5854;92%; 3 ; 68 ;Muy Malo; Esmeraldas     ; Guayas          ;C0001002450; $186,34 ;81%;59%;SI
E5855;98%; 11 ; 211 ;Bueno; Cuenca         ; Manabí          ;C0001001854; $759,38 ;86%;71%;SI
E5856;89%; 6 ; 122 ;Muy Malo; Cuenca         ; Manabí          ;C0001002017; $340,68 ;88%;68%;NO
E5857;94%; 3 ; 71 ;Bueno; Esmeraldas     ; Guayas          ;C0001001866; $169,97 ;83%;63%;SI
E5858;87%; 11 ; 202 ;Muy Malo; Quito          ; Guayas          ;C0001001961; $342,74 ;82%;57%;NO
E5859;89%; 12 ; 230 ;Muy Malo; Cuenca         ; Manabí          ;C0001001151; $964,61 ;86%;65%;NO
E5860;93%; 11 ; 212 ;Muy Malo; Guayaquil      ; Guayas          ;C0001001028; $794,21 ;92%;77%;NO
E5861;84%; 9 ; 173 ;Muy Bueno; Guayaquil      ; Guayas          ;C0001002196; $1.035,12 ;85%;59%;SI
E5862;91%; 6 ; 123 ;Malo; Portoviejo     ; Pichincha       ;C0001001060; $245,46 ;81%;59%;NO
E5863;86%; 5 ; 106 ;Muy Bueno; Cuenca         ; Azuay           ;C0001001222; $263,95 ;85%;61%;SI
E5864;92%; 8 ; 152 ;Reguar; Portoviejo     ; Pichincha       ;C0001001741; $644,98 ;90%;73%;NO
E5865;94%; 4 ; 80 ;Muy Bueno; Loja           ; Manabí          ;C0001002410; $159,64 ;79%;57%;NO
E5866;91%; 6 ; 116 ;Muy Malo; Guayaquil      ; Tungurahua      ;C0001001776; $115,73 ;86%;66%;SI
E5867;91%; 3 ; 61 ;Reguar; Machala        ; Manabí          ;C0001002128; $197,37 ;87%;68%;NO
E5868;87%; 8 ; 151 ;Malo; Quito          ; Manabí          ;C0001001014; $195,79 ;84%;60%;NO
E5869;91%; 10 ; 193 ;Muy Bueno; Quito          ; Manabí          ;C0001001659; $1.204,56 ;88%;69%;NO
E5870;90%; 10 ; 185 ;Bueno; Machala        ; Guayas          ;C0001001294; $480,22 ;84%;62%;NO
E5871;97%; 10 ; 192 ;Reguar; Portoviejo     ; Pichincha       ;C0001002185; $249,48 ;82%;64%;NO
E5872;90%; 4 ; 83 ;Malo; Manta          ; Santo Domingo   ;C0001001477; $496,20 ;80%;56%;NO
E5873;96%; 14 ; 268 ;Muy Bueno; Loja           ; Chimborazo      ;C0001001461; $589,34 ;88%;73%;NO
E5874;94%; 6 ; 115 ;Malo; Portoviejo     ; Manabí          ;C0001001939; $401,87 ;79%;57%;NO
E5875;95%; 7 ; 138 ;Malo; Manta          ; Pichincha       ;C0001001785; $310,16 ;80%;60%;NO
E5876;86%; 9 ; 178 ;Muy Malo; Cuenca         ; Santo Domingo   ;C0001001312; $266,37 ;89%;67%;NO
E5877;88%; 13 ; 247 ;Bueno; Machala        ; Esmeraldas      ;C0001001234; $739,92 ;88%;67%;SI
E5878;92%; 5 ; 96 ;Muy Bueno; Loja           ; Tungurahua      ;C0001001140; $301,64 ;86%;67%;NO
E5879;93%; 10 ; 194 ;Muy Malo; Manta          ; Tungurahua      ;C0001001332; $736,40 ;86%;67%;NO
E5880;89%; 5 ; 98 ;Reguar; Santo Domingo  ; El Oro          ;C0001002079; $146,51 ;85%;63%;NO
E5881;88%; 8 ; 152 ;Muy Bueno; Portoviejo     ; Guayas          ;C0001001270; $545,90 ;89%;68%;NO
E5882;92%; 9 ; 174 ;Reguar; Ambato         ; Manabí          ;C0001002124; $443,09 ;81%;59%;NO
E5883;94%; 9 ; 175 ;Muy Malo; Machala        ; Guayas          ;C0001001017; $174,82 ;91%;76%;NO
E5884;85%; 11 ; 205 ;Muy Bueno; Loja           ; Guayas          ;C0001001075; $490,92 ;81%;55%;NO
E5885;89%; 8 ; 156 ;Muy Malo; Machala        ; Loja            ;C0001002305; $373,61 ;81%;57%;NO
E5886;83%; 9 ; 171 ;Malo; Machala        ; Tungurahua      ;C0001002259; $771,71 ;80%;52%;NO
E5887;87%; 5 ; 102 ;Muy Malo; Santo Domingo  ; Manabí          ;C0001001470; $335,31 ;80%;55%;NO
E5888;92%; 11 ; 211 ;Muy Bueno; Cuenca         ; Pichincha       ;C0001002468; $1.159,18 ;80%;58%;NO
E5889;97%; 1 ; 25 ;Muy Malo; Durán          ; Manabí          ;C0001001890; $89,68 ;87%;72%;NO
E5890;86%; 1 ; 31 ;Malo; Durán          ; Loja            ;C0001001612; $96,33 ;83%;58%;NO
E5891;85%; 6 ; 119 ;Muy Bueno; Loja           ; Santo Domingo   ;C0001001229; $409,00 ;80%;53%;NO
E5892;93%; 3 ; 68 ;Muy Malo; Cuenca         ; Manabí          ;C0001001658; $244,04 ;79%;57%;SI
E5893;91%; 6 ; 124 ;Reguar; Durán          ; Guayas          ;C0001001862; $309,33 ;80%;57%;NO
E5894;92%; 9 ; 171 ;Bueno; Machala        ; Esmeraldas      ;C0001001860; $554,97 ;86%;67%;NO
E5895;88%; 2 ; 46 ;Muy Malo; Guayaquil      ; Azuay           ;C0001002368; $159,74 ;79%;54%;NO
E5896;95%; 10 ; 193 ;Muy Bueno; Machala        ; Chimborazo      ;C0001001506; $665,33 ;87%;70%;NO
E5897;85%; 7 ; 136 ;Bueno; Esmeraldas     ; Loja            ;C0001001191; $379,54 ;87%;63%;SI
E5898;91%; 7 ; 138 ;Malo; Ambato         ; Azuay           ;C0001001934; $151,50 ;78%;54%;NO
E5899;92%; 5 ; 99 ;Malo; Ambato         ; Azuay           ;C0001001491; $118,51 ;82%;61%;NO
E5900;87%; 7 ; 135 ;Reguar; Durán          ; Guayas          ;C0001001467; $323,06 ;79%;53%;NO
E5901;96%; 3 ; 65 ;Muy Malo; Manta          ; Tungurahua      ;C0001001226; $285,47 ;86%;70%;NO
E5902;93%; 6 ; 120 ;Reguar; Manta          ; Loja            ;C0001001959; $383,33 ;88%;71%;NO
E5903;97%; 10 ; 186 ;Reguar; Machala        ; El Oro          ;C0001002287; $883,07 ;78%;58%;NO
E5904;87%; 2 ; 44 ;Malo; Cuenca         ; Santo Domingo   ;C0001002381; $185,34 ;87%;65%;NO
E5905;86%; 10 ; 195 ;Bueno; Esmeraldas     ; El Oro          ;C0001001310; $671,30 ;80%;54%;NO
E5906;96%; 4 ; 79 ;Muy Malo; Santo Domingo  ; Azuay           ;C0001002084; $134,10 ;90%;76%;NO
E5907;92%; 6 ; 121 ;Malo; Esmeraldas     ; Azuay           ;C0001001249; $332,09 ;79%;56%;SI
E5908;87%; 5 ; 103 ;Muy Bueno; Cuenca         ; Pichincha       ;C0001002289; $282,18 ;81%;56%;NO
E5909;95%; 10 ; 185 ;Muy Bueno; Portoviejo     ; Manabí          ;C0001001481; $924,25 ;87%;70%;NO
E5910;89%; 2 ; 48 ;Muy Malo; Riobamba       ; Esmeraldas      ;C0001001213; $274,10 ;88%;68%;NO
E5911;87%; 9 ; 167 ;Bueno; Durán          ; Manabí          ;C0001001246; $499,83 ;81%;56%;NO
E5912;88%; 8 ; 153 ;Muy Malo; Esmeraldas     ; Guayas          ;C0001002357; $648,72 ;80%;55%;NO
E5913;87%; 9 ; 170 ;Reguar; Esmeraldas     ; Tungurahua      ;C0001002076; $339,22 ;85%;62%;NO
E5914;97%; 4 ; 84 ;Muy Bueno; Esmeraldas     ; Chimborazo      ;C0001002155; $356,62 ;78%;58%;NO
E5915;96%; 5 ; 101 ;Muy Malo; Quito          ; Tungurahua      ;C0001002160; $348,04 ;80%;60%;SI
E5916;95%; 7 ; 132 ;Bueno; Loja           ; Manabí          ;C0001002500; $197,78 ;89%;74%;NO
E5917;88%; 8 ; 153 ;Malo; Manta          ; Loja            ;C0001001917; $488,45 ;82%;58%;NO
E5918;97%; 5 ; 98 ;Malo; Santo Domingo  ; Pichincha       ;C0001002158; $244,78 ;89%;75%;SI
E5919;94%; 12 ; 225 ;Bueno; Quito          ; Guayas          ;C0001002410; $899,28 ;85%;67%;NO
E5920;86%; 13 ; 238 ;Malo; Loja           ; Chimborazo      ;C0001001140; $475,16 ;91%;70%;NO
E5921;96%; 11 ; 211 ;Bueno; Durán          ; Guayas          ;C0001001484; $421,76 ;89%;75%;NO
E5922;94%; 8 ; 159 ;Muy Malo; Quito          ; Chimborazo      ;C0001001712; $206,47 ;88%;71%;SI
E5923;96%; 12 ; 224 ;Reguar; Loja           ; Esmeraldas      ;C0001001862; $268,66 ;87%;71%;NO
E5924;91%; 6 ; 122 ;Reguar; Santo Domingo  ; Santo Domingo   ;C0001002352; $511,27 ;86%;66%;NO
E5925;83%; 7 ; 136 ;Muy Malo; Durán          ; Azuay           ;C0001002113; $477,72 ;91%;67%;NO
E5926;89%; 6 ; 118 ;Muy Malo; Riobamba       ; Chimborazo      ;C0001001164; $494,21 ;78%;53%;NO
E5927;92%; 10 ; 190 ;Reguar; Esmeraldas     ; El Oro          ;C0001001445; $227,71 ;78%;55%;NO
E5928;90%; 11 ; 212 ;Reguar; Guayaquil      ; Guayas          ;C0001001175; $508,08 ;83%;61%;NO
E5929;93%; 3 ; 68 ;Reguar; Cuenca         ; Manabí          ;C0001001013; $115,24 ;85%;66%;NO
E5930;93%; 4 ; 89 ;Reguar; Portoviejo     ; Pichincha       ;C0001001955; $88,79 ;84%;64%;NO
E5931;95%; 4 ; 87 ;Muy Bueno; Manta          ; Tungurahua      ;C0001001875; $165,02 ;89%;74%;NO
E5932;88%; 5 ; 106 ;Muy Malo; Durán          ; Loja            ;C0001001626; $253,54 ;84%;61%;NO
E5933;88%; 13 ; 245 ;Reguar; Cuenca         ; Manabí          ;C0001002332; $1.529,00 ;89%;68%;NO
E5934;98%; 13 ; 247 ;Malo; Loja           ; El Oro          ;C0001002134; $740,82 ;87%;73%;NO
E5935;90%; 3 ; 58 ;Malo; Ambato         ; Chimborazo      ;C0001001862; $75,01 ;79%;55%;SI
E5936;95%; 14 ; 267 ;Bueno; Esmeraldas     ; Guayas          ;C0001001017; $400,28 ;80%;60%;SI
E5937;92%; 1 ; 24 ;Muy Malo; Esmeraldas     ; Manabí          ;C0001001688; $118,80 ;88%;70%;NO
E5938;94%; 10 ; 187 ;Muy Bueno; Durán          ; Guayas          ;C0001001932; $476,39 ;86%;68%;NO
E5939;90%; 3 ; 60 ;Muy Bueno; Santo Domingo  ; Guayas          ;C0001001257; $373,13 ;80%;56%;NO
E5940;97%; 7 ; 135 ;Malo; Loja           ; Azuay           ;C0001001602; $404,73 ;91%;79%;NO
E5941;90%; 3 ; 67 ;Reguar; Esmeraldas     ; Azuay           ;C0001001156; $233,45 ;92%;75%;SI
E5942;94%; 12 ; 226 ;Reguar; Manta          ; Manabí          ;C0001002438; $372,60 ;79%;57%;NO
E5943;87%; 5 ; 102 ;Muy Malo; Esmeraldas     ; Manabí          ;C0001001794; $259,11 ;87%;65%;SI
E5944;94%; 13 ; 248 ;Bueno; Manta          ; Guayas          ;C0001002493; $1.040,84 ;89%;73%;SI
E5945;96%; 11 ; 214 ;Reguar; Riobamba       ; Santo Domingo   ;C0001002122; $513,31 ;88%;73%;SI
E5946;85%; 9 ; 178 ;Bueno; Loja           ; Esmeraldas      ;C0001001891; $1.109,69 ;87%;63%;NO
E5947;91%; 9 ; 176 ;Bueno; Manta          ; Loja            ;C0001001217; $351,46 ;86%;66%;SI
E5948;87%; 2 ; 50 ;Muy Bueno; Riobamba       ; Esmeraldas      ;C0001002185; $81,86 ;91%;71%;NO
E5949;90%; 12 ; 225 ;Bueno; Guayaquil      ; Esmeraldas      ;C0001001616; $438,17 ;92%;75%;SI
E5950;89%; 9 ; 176 ;Bueno; Quito          ; Pichincha       ;C0001001918; $228,37 ;79%;54%;SI
E5951;91%; 2 ; 42 ;Muy Malo; Cuenca         ; Manabí          ;C0001001024; $83,46 ;81%;59%;NO
E5952;94%; 8 ; 157 ;Malo; Cuenca         ; Guayas          ;C0001001416; $564,55 ;80%;59%;NO
E5953;94%; 2 ; 52 ;Muy Bueno; Cuenca         ; Guayas          ;C0001001383; $101,05 ;87%;70%;NO
E5954;93%; 11 ; 213 ;Muy Malo; Guayaquil      ; Santo Domingo   ;C0001001871; $851,16 ;82%;61%;NO
E5955;96%; 13 ; 249 ;Bueno; Ambato         ; Manabí          ;C0001001358; $497,76 ;83%;65%;NO
E5956;90%; 9 ; 179 ;Malo; Cuenca         ; Pichincha       ;C0001001889; $509,30 ;79%;55%;NO
E5957;87%; 7 ; 140 ;Reguar; Portoviejo     ; Manabí          ;C0001001583; $488,64 ;86%;63%;NO
E5958;92%; 5 ; 104 ;Malo; Manta          ; Pichincha       ;C0001001451; $207,52 ;82%;61%;NO
E5959;92%; 11 ; 208 ;Reguar; Santo Domingo  ; Guayas          ;C0001002327; $872,59 ;85%;65%;SI
E5960;88%; 8 ; 157 ;Muy Malo; Ambato         ; Manabí          ;C0001001408; $313,28 ;86%;64%;NO
E5961;97%; 4 ; 83 ;Bueno; Guayaquil      ; Azuay           ;C0001001842; $273,60 ;89%;75%;NO
E5962;91%; 4 ; 84 ;Muy Malo; Santo Domingo  ; Pichincha       ;C0001001910; $230,26 ;80%;57%;NO
E5963;96%; 4 ; 84 ;Reguar; Santo Domingo  ; El Oro          ;C0001001530; $142,60 ;78%;57%;NO
E5964;91%; 3 ; 66 ;Malo; Esmeraldas     ; Manabí          ;C0001001993; $246,49 ;88%;69%;SI
E5965;94%; 13 ; 249 ;Reguar; Cuenca         ; Tungurahua      ;C0001001560; $1.119,69 ;85%;67%;SI
E5966;86%; 5 ; 99 ;Muy Bueno; Quito          ; Guayas          ;C0001002291; $295,74 ;85%;61%;NO
E5967;88%; 5 ; 98 ;Bueno; Machala        ; Guayas          ;C0001001946; $371,03 ;82%;58%;NO
E5968;93%; 6 ; 120 ;Bueno; Quito          ; Manabí          ;C0001002111; $598,95 ;84%;64%;SI
E5969;93%; 14 ; 262 ;Muy Bueno; Manta          ; El Oro          ;C0001002393; $1.505,29 ;81%;60%;NO
E5970;92%; 5 ; 107 ;Reguar; Machala        ; Manabí          ;C0001002433; $427,04 ;80%;58%;NO
E5971;94%; 9 ; 176 ;Malo; Ambato         ; El Oro          ;C0001001549; $404,39 ;82%;62%;SI
E5972;98%; 9 ; 168 ;Muy Malo; Machala        ; Guayas          ;C0001002261; $419,85 ;91%;80%;NO
E5973;89%; 14 ; 260 ;Reguar; Santo Domingo  ; Chimborazo      ;C0001002398; $337,57 ;80%;56%;NO
E5974;87%; 5 ; 99 ;Malo; Durán          ; Manabí          ;C0001001565; $394,44 ;91%;71%;NO
E5975;94%; 13 ; 243 ;Bueno; Loja           ; Guayas          ;C0001001858; $667,76 ;87%;70%;NO
E5976;85%; 7 ; 130 ;Muy Malo; Loja           ; Loja            ;C0001001813; $310,92 ;90%;67%;NO
E5977;92%; 12 ; 224 ;Malo; Riobamba       ; El Oro          ;C0001001273; $335,64 ;86%;67%;NO
E5978;84%; 2 ; 47 ;Bueno; Cuenca         ; Tungurahua      ;C0001001033; $90,71 ;87%;62%;NO
E5979;84%; 7 ; 135 ;Malo; Quito          ; Azuay           ;C0001002154; $295,94 ;83%;57%;NO
E5980;92%; 4 ; 84 ;Bueno; Durán          ; Pichincha       ;C0001001414; $284,78 ;89%;71%;NO
E5981;94%; 3 ; 60 ;Bueno; Machala        ; Esmeraldas      ;C0001001126; $275,17 ;82%;62%;NO
E5982;85%; 4 ; 76 ;Bueno; Esmeraldas     ; Santo Domingo   ;C0001002018; $302,20 ;92%;71%;NO
E5983;86%; 3 ; 67 ;Muy Malo; Esmeraldas     ; Loja            ;C0001001784; $226,37 ;90%;68%;NO
E5984;89%; 9 ; 175 ;Reguar; Cuenca         ; Guayas          ;C0001002129; $262,01 ;83%;60%;NO
E5985;86%; 3 ; 69 ;Malo; Cuenca         ; Manabí          ;C0001001828; $178,31 ;88%;65%;NO
E5986;94%; 5 ; 96 ;Reguar; Guayaquil      ; Santo Domingo   ;C0001002308; $402,44 ;84%;65%;NO
E5987;89%; 4 ; 85 ;Muy Malo; Durán          ; Tungurahua      ;C0001001272; $254,01 ;88%;68%;NO
E5988;89%; 8 ; 159 ;Bueno; Portoviejo     ; Manabí          ;C0001002152; $285,61 ;87%;66%;NO
E5989;97%; 2 ; 50 ;Reguar; Cuenca         ; Manabí          ;C0001001892; $159,71 ;80%;61%;SI
E5990;88%; 1 ; 31 ;Muy Bueno; Loja           ; El Oro          ;C0001002387; $85,79 ;81%;57%;NO
E5991;93%; 12 ; 222 ;Malo; Manta          ; Santo Domingo   ;C0001001637; $288,33 ;88%;71%;NO
E5992;85%; 9 ; 179 ;Reguar; Quito          ; Tungurahua      ;C0001002303; $446,38 ;90%;67%;NO
E5993;86%; 5 ; 96 ;Muy Malo; Machala        ; Manabí          ;C0001001225; $243,73 ;79%;53%;SI
E5994;97%; 3 ; 68 ;Muy Malo; Esmeraldas     ; Santo Domingo   ;C0001001218; $173,17 ;89%;75%;NO
E5995;84%; 11 ; 209 ;Bueno; Quito          ; Manabí          ;C0001002306; $406,61 ;81%;54%;NO
E5996;91%; 10 ; 186 ;Malo; Riobamba       ; Azuay           ;C0001001315; $1.067,95 ;84%;63%;NO
E5997;96%; 2 ; 49 ;Muy Malo; Durán          ; Pichincha       ;C0001002415; $87,98 ;80%;60%;SI
E5998;96%; 9 ; 173 ;Bueno; Loja           ; Guayas          ;C0001002010; $829,82 ;78%;57%;NO
E5999;90%; 5 ; 94 ;Bueno; Manta          ; Santo Domingo   ;C0001001941; $262,36 ;79%;55%;SI
E6000;90%; 1 ; 34 ;Bueno; Loja           ; Pichincha       ;C0001002084; $210,63 ;79%;55%;NO
E6001;92%; 3 ; 66 ;Reguar; Cuenca         ; Esmeraldas      ;C0001001016; $207,14 ;83%;62%;NO
E6002;90%; 5 ; 95 ;Bueno; Quito          ; Azuay           ;C0001001892; $198,87 ;87%;67%;NO
E6003;87%; 2 ; 51 ;Muy Bueno; Machala        ; Tungurahua      ;C0001001355; $172,07 ;88%;66%;SI
E6004;88%; 14 ; 263 ;Reguar; Riobamba       ; El Oro          ;C0001001288; $1.247,54 ;82%;58%;NO
E6005;90%; 13 ; 243 ;Bueno; Manta          ; Guayas          ;C0001001079; $364,05 ;83%;61%;NO
E6006;88%; 5 ; 99 ;Reguar; Santo Domingo  ; Guayas          ;C0001002252; $236,74 ;85%;62%;NO
E6007;91%; 4 ; 82 ;Muy Malo; Santo Domingo  ; El Oro          ;C0001001173; $232,93 ;84%;63%;SI
E6008;92%; 9 ; 175 ;Bueno; Portoviejo     ; Esmeraldas      ;C0001002312; $629,14 ;88%;70%;NO
E6009;89%; 5 ; 101 ;Muy Malo; Loja           ; Esmeraldas      ;C0001002499; $161,07 ;77%;52%;NO
E6010;97%; 3 ; 63 ;Muy Bueno; Machala        ; Santo Domingo   ;C0001001781; $81,78 ;88%;74%;NO
E6011;88%; 9 ; 171 ;Muy Bueno; Manta          ; Loja            ;C0001001236; $750,82 ;84%;61%;SI
E6012;89%; 8 ; 151 ;Reguar; Machala        ; Azuay           ;C0001001933; $753,35 ;84%;62%;NO
E6013;90%; 2 ; 44 ;Malo; Machala        ; El Oro          ;C0001002102; $104,88 ;83%;61%;NO
E6014;89%; 13 ; 244 ;Reguar; Quito          ; Esmeraldas      ;C0001002149; $1.035,60 ;88%;68%;NO
E6015;89%; 8 ; 160 ;Reguar; Machala        ; Azuay           ;C0001001479; $479,01 ;78%;53%;NO
E6016;93%; 9 ; 169 ;Reguar; Portoviejo     ; Loja            ;C0001001330; $270,06 ;83%;63%;NO
E6017;97%; 12 ; 225 ;Bueno; Machala        ; Guayas          ;C0001002188; $843,41 ;86%;70%;NO
E6018;89%; 9 ; 176 ;Muy Bueno; Cuenca         ; Azuay           ;C0001001746; $579,71 ;87%;66%;NO
E6019;85%; 7 ; 136 ;Malo; Durán          ; Pichincha       ;C0001001517; $542,20 ;89%;66%;NO
E6020;86%; 10 ; 193 ;Muy Bueno; Guayaquil      ; Loja            ;C0001001044; $385,16 ;87%;64%;NO
E6021;93%; 9 ; 174 ;Reguar; Cuenca         ; Guayas          ;C0001001888; $782,06 ;84%;64%;NO
E6022;93%; 2 ; 49 ;Muy Malo; Machala        ; Manabí          ;C0001001495; $280,54 ;77%;54%;SI
E6023;93%; 4 ; 88 ;Bueno; Santo Domingo  ; Loja            ;C0001002138; $373,11 ;82%;61%;NO
E6024;89%; 4 ; 83 ;Muy Malo; Cuenca         ; Guayas          ;C0001002267; $248,01 ;84%;62%;SI
E6025;92%; 3 ; 69 ;Reguar; Santo Domingo  ; Tungurahua      ;C0001001767; $151,27 ;87%;68%;NO
E6026;93%; 5 ; 99 ;Bueno; Esmeraldas     ; Santo Domingo   ;C0001001425; $296,37 ;89%;72%;NO
E6027;94%; 10 ; 187 ;Reguar; Durán          ; Manabí          ;C0001002430; $597,82 ;83%;63%;NO
E6028;94%; 4 ; 78 ;Muy Bueno; Ambato         ; Azuay           ;C0001001317; $342,41 ;80%;59%;NO
E6029;87%; 11 ; 209 ;Muy Bueno; Esmeraldas     ; Pichincha       ;C0001001928; $375,50 ;85%;62%;NO
E6030;91%; 11 ; 214 ;Malo; Portoviejo     ; Esmeraldas      ;C0001002232; $1.228,95 ;81%;59%;NO
E6031;93%; 4 ; 88 ;Muy Bueno; Esmeraldas     ; Guayas          ;C0001002120; $175,58 ;78%;55%;NO
E6032;89%; 12 ; 224 ;Malo; Ambato         ; Azuay           ;C0001002186; $335,51 ;91%;72%;NO
E6033;96%; 6 ; 120 ;Muy Bueno; Durán          ; Guayas          ;C0001001749; $569,43 ;81%;62%;NO
E6034;84%; 8 ; 155 ;Malo; Manta          ; Manabí          ;C0001002390; $772,60 ;81%;54%;NO
E6035;86%; 7 ; 138 ;Reguar; Quito          ; Guayas          ;C0001002121; $357,71 ;91%;70%;NO
E6036;90%; 10 ; 192 ;Malo; Quito          ; Guayas          ;C0001001109; $402,57 ;76%;51%;NO
E6037;93%; 7 ; 132 ;Malo; Ambato         ; Manabí          ;C0001001998; $500,80 ;89%;72%;NO
E6038;93%; 9 ; 177 ;Bueno; Quito          ; Tungurahua      ;C0001001037; $335,90 ;79%;57%;SI
E6039;91%; 5 ; 100 ;Reguar; Quito          ; Tungurahua      ;C0001001393; $299,19 ;82%;60%;SI
E6040;88%; 10 ; 191 ;Reguar; Ambato         ; El Oro          ;C0001001674; $209,70 ;85%;62%;SI
E6041;94%; 12 ; 232 ;Muy Malo; Santo Domingo  ; Guayas          ;C0001002168; $591,14 ;86%;68%;NO
E6042;88%; 8 ; 156 ;Bueno; Loja           ; Loja            ;C0001001392; $653,69 ;86%;64%;NO
E6043;95%; 6 ; 123 ;Muy Bueno; Ambato         ; Tungurahua      ;C0001001780; $442,26 ;79%;58%;NO
E6044;86%; 5 ; 101 ;Reguar; Guayaquil      ; Manabí          ;C0001001852; $402,32 ;83%;58%;NO
E6045;92%; 10 ; 190 ;Malo; Loja           ; Pichincha       ;C0001001972; $910,85 ;77%;53%;NO
E6046;90%; 3 ; 61 ;Muy Malo; Cuenca         ; Pichincha       ;C0001002094; $109,26 ;91%;73%;NO
E6047;91%; 5 ; 104 ;Malo; Ambato         ; Santo Domingo   ;C0001001484; $518,65 ;79%;56%;NO
E6048;91%; 9 ; 170 ;Muy Malo; Santo Domingo  ; Loja            ;C0001001360; $636,49 ;86%;66%;NO
E6049;94%; 6 ; 114 ;Malo; Guayaquil      ; Santo Domingo   ;C0001002053; $409,75 ;78%;56%;SI
